Route,Day,Location,Incident,Min Gap,Date_,Month,Hour
9,Friday,MCCOWAN AND MARTINDALE,General Delay,49,2024-03-22,3,15
60,Wednesday,PIONEER VILLAGE STATIO,Operations - Operator,24,2024-02-28,2,21
15,Tuesday,EVANS AND NORTH CARSON,Diversion,43,2024-06-11,6,15
129,Friday,MCCOWAN AND FINCH,Mechanical,14,2024-09-27,9,20
902,Thursday,WARDEN STATION,Mechanical,22,2024-09-19,9,16
96,Wednesday,WILSON STATION,Mechanical,40,2024-01-17,1,14
44,Wednesday,KIPLING AND EVANS,Mechanical,14,2024-03-13,3,16
79,Tuesday,RUNNYMEDE AND ANNETTE,Utilized Off Route,40,2024-08-06,8,17
939,Thursday,FINCH AND PHARMACY,Utilized Off Route,22,2024-06-13,6,14
944,Friday,KIPLIING AND JUTLAND,Mechanical,26,2024-01-19,1,12
165,Saturday,WESTON AND LANYARD,Mechanical,20,2024-08-10,8,0
89,Wednesday,WESTON AND 401,Mechanical,20,2024-03-13,3,10
95,Sunday,YORK MILLS STATION,Operations - Operator,20,2024-05-12,5,21
131,Saturday,TRAIL AND SEWELLS,Mechanical,40,2024-02-24,2,23
96,Friday,WILSON AND JULIAN,Mechanical,40,2024-04-19,4,15
161,Monday,OSSINGTON STATION,Vision,40,2024-09-16,9,21
63,Thursday,OAKWOOD LOOP,Operations - Operator,20,2024-06-06,6,19
75,Wednesday,SHERBOURNE STATION,Emergency Services,36,2024-03-06,3,20
51,Wednesday,EGLINTON AND MT. PLEAS,Mechanical,46,2024-01-31,1,11
131,Thursday,NUGGET AND MARKHAM,Mechanical,30,2024-02-15,2,20
161,Saturday,ROGERS AND SILVERTHORN,Security,40,2024-05-18,5,22
39,Tuesday,FINCH STATION,Mechanical,36,2024-03-19,3,20
939,Wednesday,FINCH STATION,Mechanical,28,2024-05-01,5,10
131,Wednesday,MALVERN GARAGE,Mechanical,24,2024-03-20,3,6
985,Monday,SCARBOROUGH CENTRE STA,Operations - Operator,30,2024-04-29,4,15
102,Saturday,MORNINGSIDE AND PASSMO,Mechanical,15,2024-09-07,9,13
41,Thursday,KEELE AND DIANA,Operations - Operator,24,2024-07-04,7,12
36,Monday,FINCH WEST STATION,Security,14,2024-06-24,6,15
116,Thursday,MORNINGSIDE AND SHEPPA,Investigation,20,2024-08-01,8,9
36,Wednesday,FINCH WEST STATION,Collision - TTC,12,2024-04-10,4,9
89,Friday,WESTON AND WRIGHT,Mechanical,20,2024-03-22,3,11
96,Saturday,HUMBERWOOD LOOP,Operations - Operator,40,2024-09-07,9,22
939,Friday,SCARBOROUGH CENTRE STA,Operations - Operator,22,2024-05-10,5,19
47,Wednesday,YORKDALE STATION,Operations - Operator,36,2024-07-24,7,13
91,Tuesday,BERMONDSEY AND MOBILE,Collision - TTC,48,2024-09-24,9,9
38,Thursday,ROUGE HILL GO STATION,Cleaning - Unsanitary,30,2024-09-19,9,11
36,Thursday,FINCH WEST STATION,Mechanical,13,2024-06-20,6,16
36,Monday,FINCH STATION,Security,12,2024-07-15,7,13
25,Sunday,FINCH AND DON MILLS,Mechanical,20,2024-03-31,3,10
41,Monday,TRETHEWEY AND EGLINTON,Cleaning - Unsanitary,30,2024-05-20,5,20
995,Friday,ELLESMERE AND PHARMACY,Security,40,2024-03-01,3,14
79,Tuesday,MT DENNIS DIVISION,Operations - Operator,20,2024-01-09,1,7
903,Tuesday,KENNEDY STATION,Mechanical,16,2024-07-16,7,16
62,Thursday,MORTIMER AND DUNKIRK,Mechanical,34,2024-03-14,3,8
47,Thursday,LANSDOWNE AND DUPONT,Operations - Operator,24,2024-03-21,3,16
80,Friday,SHERWAY GATE AND EVANS,Security,12,2024-09-06,9,6
66,Tuesday,BERRY AND PRINCE EDWAR,Mechanical,20,2024-06-25,6,16
968,Thursday,WARDEN AND BAMBURGH CI,Operations - Operator,30,2024-01-25,1,17
35,Saturday,JANE AND BEVERLY HILLS,Mechanical,16,2024-09-28,9,19
79,Saturday,SCARLETT AND EGLINTON,Mechanical,20,2024-02-03,2,14
52,Saturday,LAWRENCE AND PINE,Mechanical,40,2024-03-02,3,14
102,Monday,WARDEN STATION,Collision - TTC,40,2024-08-12,8,22
72,Thursday,BIRCHMOUNT GARAGE,Mechanical,30,2024-02-15,2,7
31,Sunday,DANFORTH AND LINNSMORE,Cleaning - Unsanitary,40,2024-07-14,7,23
80,Monday,QUEENSWAY AND EAST MAL,Mechanical,50,2024-09-16,9,8
36,Wednesday,FINCH AND HUMBER COLLE,Operations - Operator,16,2024-05-01,5,21
72,Sunday,735 PAPE AVENUE,Mechanical,40,2024-03-31,3,14
40,Saturday,49 MABELLE,Diversion,49,2024-09-28,9,19
32,Saturday,EGLINTON STATION,Mechanical,12,2024-08-31,8,17
20,Wednesday,MT DENNIS DIVISION,Operations - Operator,20,2024-01-10,1,4
114,Tuesday,HARBOUR AND BAY,Diversion,25,2024-09-03,9,15
37,Wednesday,ISLINGTON AND DUNDAS,Operations - Operator,40,2024-02-07,2,18
