Route,Day,Location,Incident,Min Gap,Date_,Month,Hour
32,Friday,EGLINTON AND MCROBERTS,Mechanical,17,2024-07-12,7,6
29,Thursday,WILSON STATION,Operations - Operator,16,2024-05-02,5,16
34,Thursday,DON MILLS AND WYNFORD,Mechanical,25,2024-02-08,2,16
927,Wednesday,MARTIN GROVE AND STEEL,Collision - TTC,20,2024-09-18,9,10
102,Saturday,WARDEN STATION,Collision - TTC,16,2024-02-24,2,19
927,Tuesday,ARROW GARAGE,Operations - Operator,18,2024-06-11,6,5
108,Monday,PIONEER VILLAGE STATIO,Mechanical,40,2024-02-12,2,13
929,Friday,WILSON STATION,Mechanical,20,2024-03-22,3,17
100,Tuesday,BROADVIEW STATION,Operations - Operator,16,2024-04-23,4,10
45,Monday,BAY AND FRONT,Mechanical,20,2024-04-08,4,0
97,Wednesday,HILDA AND STEELES,Collision - TTC,50,2024-05-01,5,18
60,Friday,PIONEER VILLAGE STATIO,Mechanical,22,2024-05-24,5,12
29,Friday,DUFFERIN AND ALMA AVE,Operations - Operator,16,2024-02-02,2,19
60,Thursday,STEELES AND KEELE,Mechanical,18,2024-05-09,5,18
35,Wednesday,PIONEER VILLAGE STATIO,Utilized Off Route,20,2024-01-03,1,20
37,Wednesday,WOODBINE RACETRACK LOO,Mechanical,40,2024-06-19,6,12
41,Sunday,KEELE AND GLENLAKE AVE,Vision,40,2024-08-04,8,0
108,Sunday,SHOREHAM AND JANE,Mechanical,20,2024-03-03,3,13
952,Thursday,LAWRENCE AND DUFFERIN,Mechanical,20,2024-08-15,8,7
339,Monday,FINCH AND DON MILLS,Emergency Services,20,2024-08-26,8,3
134,Wednesday,PROGRESS AND SHEPPARD,Mechanical,30,2024-02-14,2,7
52,Tuesday,LAWRENCE WEST STATION,Mechanical,36,2024-08-20,8,17
12,Tuesday,GUNNS LOOP,Operations - Operator,14,2024-05-28,5,6
21,Thursday,KENNEDY STATION,Operations - Operator,40,2024-02-08,2,13
905,Tuesday,MORNINGSIDE AND MILITA,Investigation,16,2024-06-11,6,12
95,Saturday,ELLESMERE AND BOBMAR,Mechanical,20,2024-04-20,4,19
19,Tuesday,BIRCHMOUNT GARAGE,Operations - Operator,40,2024-02-20,2,8
73,Wednesday,WESTON AND OAK`,Mechanical,48,2024-03-20,3,19
999,Wednesday,EGLINTON WEST STATION,Mechanical,16,2024-08-21,8,12
92,Wednesday,BIRCHMOUNT GARAGE,Mechanical,24,2024-07-31,7,6
36,Friday,FINCH WEST STATION,Mechanical,16,2024-07-26,7,19
32,Sunday,EGLINTON STATION,Mechanical,24,2024-01-07,1,12
25,Wednesday,WARDEN AND METROPOLITA,Mechanical,14,2024-05-15,5,6
996,Thursday,YORK MILLS STATION,Mechanical,25,2024-03-07,3,13
32,Thursday,MT. DENNIS DIVISION,Operations - Operator,30,2024-01-04,1,6
129,Wednesday,MCCOWAN AND HIGHWAY 7,Operations - Operator,48,2024-09-04,9,17
90,Wednesday,WARDEN AND ST CLAIR,Mechanical,44,2024-09-18,9,14
8,Monday,ST CLAIR AND PHARMACY,Mechanical,44,2024-01-15,1,17
95,Saturday,YORK MILLS AND DON MIL,Mechanical,30,2024-06-08,6,20
985,Thursday,MIDLAND AND LAWRENCE,Mechanical,24,2024-04-11,4,7
65,Sunday,CASTLE FRANK,Operations - Operator,32,2024-09-29,9,22
116,Wednesday,EGLINTON AND DANFORTH,Security,16,2024-07-17,7,6
96,Saturday,WILSON AND BEVERLY HIL,Mechanical,40,2024-03-23,3,6
984,Thursday,SHEPPARD WEST STATION,Mechanical,18,2024-06-20,6,16
34,Friday,SPANBRIDGE AND LINKWOO,Mechanical,25,2024-08-09,8,16
905,Saturday,KINGSTON AND GALLOWAY,Mechanical,30,2024-07-06,7,11
102,Friday,CENTENNIAL COLLEGE BUS,Mechanical,40,2024-06-28,6,20
937,Thursday,FINCH AND ISLINGTON,Mechanical,32,2024-06-06,6,8
53,Thursday,STEELES AND BIRCHMOUNT,Security,29,2024-02-29,2,11
86,Friday,KENNEDY STATION,Mechanical,10,2024-05-24,5,2
100,Saturday,DON MILLS AND WYNFORD,Mechanical,18,2024-08-24,8,14
52,Thursday,WATERBURY AND CLARION,Cleaning - Unsanitary,16,2024-06-13,6,18
16,Monday,DANFORTH AND BARRYMORE,Mechanical,20,2024-02-12,2,21
900,Wednesday,RATHBURN AND THE WEST,Operations - Operator,10,2024-09-18,9,14
189,Saturday,ST CLAIR AND KEELE,Operations - Operator,40,2024-03-30,3,9
25,Friday,PAPE STATION,Mechanical,13,2024-04-19,4,17
110,Thursday,ISLINGTON STATION,Utilized Off Route,54,2024-08-08,8,12
52,Thursday,EGLINTON STATION,Operations - Operator,22,2024-06-27,6,19
123,Wednesday,BROWNS LINE AND JELLIC,Mechanical,54,2024-01-10,1,20
65,Friday,PARLIAMENT AND GERRARD,Cleaning - Unsanitary,33,2024-05-10,5,22
111,Thursday,THE EAST MALL AND CAPR,Utilized Off Route,40,2024-04-25,4,23
32,Monday,EGLINTON STATION,Utilized Off Route,20,2024-04-29,4,14
123,Sunday,ROYAL YORK AND BLOOR,Security,50,2024-09-01,9,7
52,Thursday,LAWRENCE AND JANE,Operations - Operator,40,2024-07-04,7,13
38,Wednesday,SCARBOROUGH CENTRE STA,Mechanical,24,2024-06-12,6,20
13,Saturday,EGLINTON STATION,Operations - Operator,20,2024-04-06,4,19
7,Thursday,BATHURST AND SHEPPARD,Cleaning - Unsanitary,20,2024-03-14,3,23
86,Saturday,EGLINTON AND MARKHAM,Mechanical,20,2024-02-03,2,14
24,Friday,VICTORIA PARK AND ST.,Utilized Off Route,44,2024-02-23,2,14
86,Sunday,TORONTO ZOO,Mechanical,20,2024-08-25,8,17
68,Wednesday,WARDEN STATION,Vision,22,2024-03-27,3,11
999,Sunday,1745 BLOOR STREET,Utilized Off Route,18,2024-07-07,7,8
85,Monday,DON MILLS STATION,Mechanical,29,2024-09-09,9,21
161,Friday,OSSINGTON STATION,Mechanical,36,2024-07-05,7,7
86,Tuesday,KENNEDY STATION,Operations - Operator,12,2024-01-02,1,17
129,Tuesday,MCCOWAN AND MCNICOLL,Operations - Operator,36,2024-03-26,3,14
45,Saturday,KIPLING AND PRINCESS M,Vision,18,2024-06-29,6,1
24,Thursday,VICTORIA PARK AND SOUT,Operations - Operator,20,2024-05-09,5,10
960,Thursday,STEELES AND KEELE,Operations - Operator,28,2024-09-05,9,5
105,Friday,SHEPPARD WEST STATION,Mechanical,23,2024-03-01,3,17
960,Monday,FINCH STATION,Mechanical,13,2024-01-29,1,8
36,Monday,HUMBERWOOD BLVD AND PI,Mechanical,11,2024-09-30,9,7
32,Wednesday,JANE AND TRETHEWEY,Operations - Operator,20,2024-07-03,7,7
72,Sunday,PAPE AND O'CONNOR,Mechanical,20,2024-06-23,6,19
56,Saturday,DONLANDS STATION,Operations - Operator,46,2024-06-22,6,13
47,Tuesday,LANSDOWNE AND BLOOR,Mechanical,36,2024-03-26,3,10
59,Sunday,MAPLE LEAF AND BOURDON,Security,50,2024-07-21,7,22
927,Tuesday,FINCH AND HALESIA,Mechanical,16,2024-07-09,7,8
39,Wednesday,FINCH AND SENECA HILL,Mechanical,18,2024-09-25,9,9
95,Sunday,ELLESMERE AND MEADOWVA,Operations - Operator,24,2024-07-14,7,13
51,Tuesday,LESLIE AND LAWRENCE,Investigation,50,2024-05-07,5,18
57,Tuesday,MIDLAND AND SHEPPARD,Mechanical,26,2024-05-21,5,6
929,Thursday,DUFFERIN AND LAWRENCE,Mechanical,16,2024-06-27,6,17
41,Friday,KEELE STATION,Vision,24,2024-07-05,7,19
36,Tuesday,FINCH AND WOODBINE DOW,Mechanical,13,2024-01-23,1,15
160,Thursday,NEW WESTMINSTER AND KA,General Delay,50,2024-08-01,8,11
960,Saturday,YONGE AND CUMMER,Investigation,20,2024-09-28,9,12
68,Monday,WARDENA DN STEELES,Utilized Off Route,19,2024-06-10,6,5
37,Saturday,ISLINGTON AND RATHBURN,Operations - Operator,32,2024-03-02,3,13
112,Monday,KIPLING STATION,Mechanical,34,2024-01-15,1,21
100,Saturday,OVERLEA AND THORNCIFFE,Collision - TTC,18,2024-03-30,3,10
29,Wednesday,DUFFERIN AND QUEEN,Mechanical,16,2024-01-24,1,19
26,Monday,JANE AND ARDAGH,Mechanical,46,2024-08-19,8,0
36,Monday,FINCH AND HUMBER COLLE,Mechanical,20,2024-04-01,4,22
20,Sunday,PARK AND MIDLAND,Mechanical,40,2024-04-28,4,18
501,Thursday,QUEEN AND BOULTON,Emergency Services,23,2024-04-25,4,23
60,Sunday,YONGE AND EMPRESS,Diversion,20,2024-05-12,5,23
25,Tuesday,PAPE AND O'CONNOR,Mechanical,18,2024-05-28,5,9
34,Monday,EGLINTON GARAGE,Mechanical,25,2024-03-11,3,15
902,Friday,ST CLAIR AND DANFORTH,Mechanical,24,2024-08-30,8,6
65,Sunday,SHERBOURNE AND QUEENS,Cleaning - Unsanitary,40,2024-03-10,3,17
53,Monday,YONGE AND STEELES EAST,Mechanical,28,2024-09-09,9,15
952,Friday,SHEPPARD W AND ABRAHA,Mechanical,20,2024-03-15,3,7
20,Sunday,MIDLAND AND WOLFE,Security,40,2024-01-14,1,17
35,Tuesday,JANE AND FINCH,Mechanical,24,2024-09-10,9,8
90,Saturday,BATHURST AND BRIDGMAN,Cleaning - Unsanitary,20,2024-06-15,6,23
329,Wednesday,CANADA BOULEVARD AND P,Operations - Operator,40,2024-08-28,8,2
98,Wednesday,STEELES EAST LOOP,Mechanical,40,2024-03-06,3,15
925,Friday,PAPE AND COSBURN,Utilized Off Route,11,2024-04-19,4,22
46,Thursday,KIPLING STATION,Utilized Off Route,26,2024-04-25,4,18
102,Thursday,MARKHAM AND PROGRESS,Mechanical,20,2024-07-25,7,10
925,Sunday,PAPE STATION,Security,20,2024-02-18,2,15
939,Friday,FINCH WEST STATION,Cleaning - Unsanitary,16,2024-07-05,7,6
36,Monday,HUMBERWOOD LOOP,Vision,16,2024-02-05,2,9
44,Tuesday,COLONEL SAMUEL SMITH,Mechanical,12,2024-09-10,9,14
25,Tuesday,DON MILLS STATION,Collision - TTC,26,2024-02-27,2,19
45,Thursday,KIPLING AND BEAVERBROO,Mechanical,17,2024-05-23,5,14
36,Wednesday,FINCH AND ROMFIELD,Mechanical,12,2024-04-10,4,13
88,Wednesday,WELLAND AND HEATH,Mechanical,58,2024-06-26,6,14
123,Friday,KIPLING STATION,Mechanical,56,2024-06-21,6,19
45,Thursday,KIPLING AND WESTWAY,Security,34,2024-06-27,6,1
32,Sunday,YONGE AND QUEENS QUAY,Cleaning - Unsanitary,30,2024-04-14,4,5
44,Thursday,KIPLING AND SIX POINT,General Delay,12,2024-09-26,9,18
57,Thursday,KENNEDY STATION,Cleaning - Unsanitary,36,2024-02-08,2,12
35,Saturday,JANE STATION,Mechanical,16,2024-01-27,1,13
95,Saturday,RYLANDER AND KINGSTON,Operations - Operator,28,2024-03-16,3,17
900,Wednesday,TORONTO PEARSON AIRPOR,Mechanical,18,2024-03-06,3,6
63,Saturday,EGLINTON WEST STATION,Utilized Off Route,20,2024-07-13,7,20
165,Saturday,WESTON AND FINCH,Mechanical,20,2024-07-20,7,1
54,Wednesday,LAWRENCE AND MARKHAM,Mechanical,22,2024-08-28,8,18
129,Friday,MCCOWAN AND FINCH,Mechanical,20,2024-03-29,3,15
36,Friday,FINCH AND JANE,Mechanical,26,2024-09-06,9,18
86,Sunday,MEADOWVALE AND SHEPPAR,Mechanical,20,2024-04-28,4,18
165,Monday,STEELES AND WESTON,Vision,14,2024-01-15,1,17
29,Monday,WILSON STATION,Mechanical,16,2024-08-05,8,8
952,Monday,LAWRENCE AND JANE,Security,24,2024-04-22,4,16
39,Saturday,FINCH AND MCCOWAN,Cleaning - Unsanitary,18,2024-08-24,8,12
985,Friday,LAWRENCE AND MIDLAND,Mechanical,30,2024-07-05,7,23
53,Sunday,BISHOP AND YONGE,General Delay,40,2024-07-21,7,22
29,Thursday,DUFFERIN AND DUFFERIN,Operations - Operator,16,2024-07-04,7,19
929,Thursday,DUFFERIN AND JANE OSLE,Mechanical,16,2024-04-11,4,20
41,Monday,KEELE AND GREENBROOK D,Emergency Services,20,2024-07-15,7,12
960,Thursday,PIONEER VILLAGE STATIO,Mechanical,18,2024-01-25,1,10
52,Monday,LAWRENCE AND WESTON,Mechanical,30,2024-02-12,2,14
94,Wednesday,BLOOR AND PARLIAMENT,Operations - Operator,40,2024-06-19,6,18
952,Tuesday,LAWRENCE AND SCARLETT,Mechanical,24,2024-01-02,1,15
26,Thursday,RUNNYMEDE AND ANNETTE,Mechanical,24,2024-02-08,2,15
40,Wednesday,KIPLING STATION,Operations - Operator,40,2024-06-19,6,13
21,Tuesday,BRIMLEY AND BRIMORTON,Operations - Operator,40,2024-07-16,7,9
121,Sunday,JACK LAYTON AND MATTHE,Operations - Operator,40,2024-07-07,7,12
118,Wednesday,THISTLE DOWN,General Delay,40,2024-05-08,5,8
52,Saturday,ARROW GARAGE,Operations - Operator,26,2024-05-11,5,9
20,Saturday,MAIN STREET STATION,Cleaning - Unsanitary,40,2024-05-11,5,13
113,Tuesday,BIRCHMOUNT AND DANFORT,Mechanical,30,2024-02-27,2,17
32,Friday,KEELE AND EGLINTON,Operations - Operator,24,2024-01-05,1,13
133,Monday,TRITON ROAD,Mechanical,24,2024-05-06,5,6
95,Sunday,YORK MILLS STATION,Mechanical,20,2024-08-04,8,17
63,Tuesday,OSSINGTON STATION,Vision,20,2024-06-18,6,16
9,Friday,BELLAMY N AND GRACE,Emergency Services,42,2024-04-19,4,13
32,Wednesday,EGLINTON AND JANE,Mechanical,32,2024-08-21,8,7
35,Sunday,JANE AND FOXWELL,Security,16,2024-07-14,7,19
900,Wednesday,KIPLING STATION,Security,20,2024-01-31,1,23
29,Friday,DUFFERIN AND CASTLEFIE,Collision - TTC,16,2024-04-12,4,15
95,Monday,UNIVERSITY OF TORONTO,Cleaning - Unsanitary,38,2024-08-05,8,9
122,Monday,YORK MILLS STATION,Collision - TTC,40,2024-06-03,6,19
35,Saturday,JANE AND SHOREHAM DR,Security,14,2024-02-24,2,10
903,Monday,CENTENNIAL COLLEGE BUS,Mechanical,16,2024-04-29,4,9
92,Monday,QUEEN AND WOODBINE,Mechanical,14,2024-07-01,7,20
905,Wednesday,EGLINTON EAST AND MARK,Mechanical,20,2024-08-14,8,10
929,Thursday,DUFFERIN AND KEYWEST,Collision - TTC,16,2024-08-29,8,21
86,Friday,KENNEDY STATION,Operations - Operator,40,2024-07-19,7,14
45,Thursday,KIPLING STATION,Vision,32,2024-01-18,1,19
91,Monday,44 VALLEYWOOD ROAD,Operations - Operator,36,2024-03-04,3,16
900,Tuesday,DUNDAS AND EAST MALL,Utilized Off Route,20,2024-08-13,8,22
110,Wednesday,KIPLING LOOP,Mechanical,54,2024-05-22,5,11
35,Friday,JANE AND TRETHEWEY,Mechanical,24,2024-05-31,5,15
131,Tuesday,NUGGET AND DOVEDALE,Collision - TTC,24,2024-02-27,2,6
40,Friday,KIPLING STATION,Collision - TTC,56,2024-07-12,7,17
135,Thursday,CLONEMORE DR AND QUEEN,Collision - TTC,44,2024-08-08,8,14
935,Saturday,JANE AND CHURCH,Mechanical,14,2024-08-24,8,14
32,Tuesday,EGLINTON STATION,Mechanical,24,2024-04-16,4,11
100,Wednesday,BROADVIEW STATION,Mechanical,10,2024-03-13,3,9
35,Wednesday,JANE STATION,Mechanical,14,2024-06-19,6,12
102,Saturday,MARKHAM AND SHEPPARD,Operations - Operator,16,2024-05-25,5,16
68,Monday,WARDEN STATION,Vision,58,2024-07-29,7,22
131,Friday,MCLEVIN AND TAPSCOTT,Mechanical,24,2024-07-19,7,14
36,Thursday,FINCH WEST STATION,Operations - Operator,11,2024-01-18,1,14
32,Tuesday,EGLINTON STATION,Cleaning - Unsanitary,16,2024-09-17,9,7
29,Tuesday,WILSON STATION,Operations - Operator,12,2024-01-02,1,8
939,Sunday,KENNEDY STATION,Mechanical,40,2024-09-01,9,14
64,Thursday,COSBURN AND COXWELL,Security,19,2024-01-11,1,12
110,Thursday,ISLINGTON AND LAKESHOR,Operations - Operator,25,2024-06-06,6,7
32,Saturday,EGLINTON AND RENFORTH,Mechanical,24,2024-01-13,1,15
200,Saturday,SHEPPARD AND TWYN RIVE,Operations - Operator,40,2024-08-31,8,13
54,Tuesday,BRIAN MORTON AND THORB,Mechanical,22,2024-04-23,4,18
84,Tuesday,SHEPPARD AND BANTING,Mechanical,16,2024-07-09,7,10
14,Thursday,DAVISVILLE STATION,Operations - Operator,20,2024-09-05,9,5
53,Friday,STEELES AND WILLOWDALE,Mechanical,13,2024-08-09,8,8
985,Thursday,SHEPPARD AND BRIDLEWOO,Emergency Services,15,2024-03-14,3,15
95,Sunday,YORK MILLS AND BAYVIEW,Operations - Operator,32,2024-07-07,7,12
168,Tuesday,DAVENPORT AND LAUGHTON,Security,30,2024-04-23,4,21
53,Friday,YONGE AND ABITIBI,Collision - TTC,26,2024-07-26,7,14
63,Friday,OSSINGTON STATION,Vision,16,2024-04-05,4,11
46,Saturday,KIPLING AND BURHAMTHOR,Mechanical,44,2024-07-13,7,20
95,Sunday,RYLANDER AND KINGSTON,Mechanical,20,2024-03-17,3,23
116,Tuesday,MORNINGSIDE AND SHEPPA,Mechanical,20,2024-05-28,5,0
63,Saturday,OSSINGTON AND CHURCHIL,Cleaning - Unsanitary,16,2024-04-13,4,12
135,Wednesday,WARDEN STATION,Emergency Services,40,2024-08-07,8,12
84,Wednesday,SHEPPARD AND JANE,Collision - TTC,18,2024-05-01,5,17
52,Friday,EGLINTON STATION,Mechanical,40,2024-08-16,8,10
90,Tuesday,KINGSTON AND NEILSON,Mechanical,48,2024-05-21,5,12
102,Saturday,MORNINGSIDE AND PASSMO,Emergency Services,17,2024-09-14,9,20
165,Tuesday,ARROW GARAGE,Operations - Operator,16,2024-06-11,6,5
904,Wednesday,KENNEDY STATION,Security,30,2024-09-25,9,17
24,Monday,VICTORIA PARK AND ST C,Mechanical,48,2024-02-12,2,13
123,Sunday,LONG BRANCH LOOP (3830,Operations - Operator,30,2024-02-18,2,21
102,Sunday,MARKHAM AND FINCH,Operations - Operator,40,2024-06-02,6,10
165,Saturday,OLD WESTON AND STEELES,Mechanical,16,2024-05-18,5,17
84,Monday,SHEPPARD AND SENLAC,Mechanical,40,2024-09-23,9,6
165,Sunday,FINCH AND WESTON,Mechanical,20,2024-09-01,9,18
89,Tuesday,WESTON RD AND WALSH,Collision - TTC,20,2024-03-05,3,12
945,Thursday,KIPLING STATION,Cleaning - Unsanitary,26,2024-06-20,6,20
22,Friday,COXWELL AND ROBBINS,Security,16,2024-07-12,7,7
36,Monday,FINCH AND WESTON,Collision - TTC,14,2024-01-22,1,10
116,Friday,MORNINGSIDE AND NIGHTS,Operations - Operator,20,2024-07-26,7,18
939,Monday,FINCH STATION,Operations - Operator,32,2024-05-13,5,21
43,Friday,KENNEDY AND FINCH,Mechanical,20,2024-08-09,8,16
39,Tuesday,FINCH AND HIGHWAY 404,Mechanical,18,2024-04-30,4,6
116,Monday,MORNINGSIDE AND BEATH,Mechanical,20,2024-07-29,7,14
35,Wednesday,JANE STATION,Mechanical,20,2024-05-15,5,6
100,Thursday,BROADVIEW STATION,Collision - TTC,20,2024-08-29,8,0
76,Saturday,QUEENSWAY AND ROYAL YO,Operations - Operator,20,2024-09-14,9,14
96,Monday,HUDDERSFIELD AND CLAIR,Operations - Operator,40,2024-09-23,9,12
939,Friday,KENNEDY STATION,Diversion,58,2024-01-05,1,8
38,Friday,KENNEDY STATION,Operations - Operator,25,2024-04-19,4,20
905,Saturday,KENNEDY STATION,Mechanical,30,2024-05-25,5,9
121,Tuesday,BIRCHMOUNT GARAGE,Operations - Operator,0,2024-04-16,4,6
47,Monday,LANSDOWNE AND BRANDON,Mechanical,40,2024-04-29,4,23
39,Thursday,FINCH AND ALEXMUIR,Emergency Services,34,2024-05-23,5,20
47,Friday,CALENDONIA AND BOWIE,Mechanical,38,2024-08-16,8,23
63,Saturday,EGLINTON WEST STATION,Operations - Operator,11,2024-06-29,6,13
984,Thursday,BEECROFT AND HARLANDAL,Emergency Services,19,2024-09-05,9,15
29,Friday,WILSON STATION,Cleaning - Unsanitary,16,2024-09-27,9,13
102,Tuesday,MARKHAM AND PARKWAY,Diversion,45,2024-07-02,7,10
939,Friday,SCARBOROUGH CENTRE STA,Mechanical,32,2024-06-07,6,15
24,Saturday,BINGHAM LOOP,Mechanical,26,2024-01-27,1,5
102,Saturday,WARDEN STATION,Mechanical,17,2024-04-13,4,20
989,Thursday,KEELE STATION,Operations - Operator,15,2024-03-28,3,16
39,Monday,FINCH AND AU LARGE,Collision - TTC,32,2024-02-19,2,14
90,Saturday,JESMOND AND CEDRIC,Operations - Operator,20,2024-01-20,1,20
32,Wednesday,EGLINTON AND BATHURST,Collision - TTC,20,2024-03-27,3,20
939,Friday,FINCH AND SKYMARK,Security,24,2024-04-19,4,15
35,Thursday,JANE AND SHEPPARD,Mechanical,20,2024-03-14,3,0
89,Friday,WESTON AND DENISON,Mechanical,20,2024-08-02,8,16
900,Monday,JETLINER AND AIRPORT,Emergency Services,20,2024-04-08,4,16
45,Wednesday,KIPLING STATION,Mechanical,32,2024-03-27,3,11
60,Friday,FINCH STATION,Operations - Operator,15,2024-03-15,3,8
935,Saturday,PIONEED VILLAGE STATIO,Vision,19,2024-09-28,9,9
61,Wednesday,AVENUE AND HEADINGTON,Mechanical,40,2024-05-08,5,20
54,Saturday,LAWRENCE AND BROCKLEY,Collision - TTC,40,2024-03-30,3,9
14,Thursday,MOUNT DENNIS GARAGE,Operations - Operator,20,2024-07-04,7,5
939,Sunday,FINCH EAST AND KENNEDY,Vision,15,2024-09-01,9,8
51,Sunday,LESLIE AND EGLINTON,Emergency Services,48,2024-02-04,2,13
21,Wednesday,KENNEDY STATION,Operations - Operator,0,2024-08-07,8,10
38,Thursday,SCARBOROUGH CENTRE STA,Operations - Operator,24,2024-06-20,6,17
45,Monday,KIPLING AND STEELES,Operations - Operator,20,2024-07-15,7,4
941,Friday,FINCH WEST STATION,Mechanical,30,2024-03-22,3,19
161,Sunday,ALLIANCE AND JANE,Mechanical,40,2024-05-05,5,6
121,Monday,BIRCHMOUNT GARAGE,Mechanical,46,2024-08-05,8,6
133,Saturday,KENNEDY STATION,Mechanical,16,2024-01-27,1,10
112,Wednesday,DUNDAS AND WEST MALL,Mechanical,34,2024-05-29,5,19
110,Wednesday,KIPLING LOOP,Operations - Operator,22,2024-05-08,5,5
36,Thursday,FINCH AND ARROW,Mechanical,12,2024-06-06,6,7
53,Tuesday,FINCH STATION,Vision,39,2024-08-13,8,11
131,Saturday,KENNEDY STATION,Cleaning - Unsanitary,30,2024-06-29,6,12
114,Saturday,COMMISIONERS AND LESLI,Operations - Operator,24,2024-07-13,7,9
85,Monday,SHEPPARD AND MARKHAM,Operations - Operator,18,2024-03-25,3,13
24,Tuesday,VICTORIA PARK AND CASS,Emergency Services,20,2024-04-30,4,18
26,Thursday,ST. GEORGE STATION,Security,54,2024-06-13,6,6
44,Saturday,COLONEL SAMUEL SMITH P,Mechanical,20,2024-09-21,9,6
63,Sunday,OSSINGTON AND HARRISON,Security,16,2024-08-25,8,19
38,Thursday,SCARBOROUGH CENTRE STA,General Delay,30,2024-04-18,4,11
106,Tuesday,SENTINEL AND FREDRICK,Mechanical,40,2024-04-30,4,11
37,Monday,QUEENSWAY AND PARK LAW,Utilized Off Route,31,2024-05-13,5,13
91,Wednesday,WOODBINE STATION,Utilized Off Route,37,2024-09-18,9,16
985,Wednesday,KENNEDY STATION,Mechanical,30,2024-04-03,4,17
339,Saturday,FINCH AND TRUDY,Mechanical,40,2024-01-20,1,3
133,Thursday,SCARBOROUGH CENTRE STA,Operations - Operator,26,2024-02-15,2,21
960,Tuesday,PIONEER VILLAGE STATIO,Mechanical,15,2024-09-10,9,17
34,Thursday,GERVAIS AND EGLINTON,Collision - TTC,20,2024-09-26,9,14
89,Saturday,KEELE STATION,Security,20,2024-04-13,4,18
300,Wednesday,BLOOR AND YONGE,Emergency Services,34,2024-09-18,9,3
40,Monday,KIPLING STATION,Mechanical,40,2024-05-27,5,8
29,Wednesday,DUFFERIN AND EGLINTON,Security,16,2024-01-10,1,19
111,Monday,KIPLING STATION,Mechanical,24,2024-01-01,1,17
36,Sunday,FINCH AND JANE,Mechanical,15,2024-02-25,2,9
113,Thursday,DANFORTH AND NORTH WOO,Mechanical,44,2024-08-01,8,17
133,Monday,MIDLAND AND ROMULUS,Collision - TTC,26,2024-01-15,1,11
160,Tuesday,DUFFERIN AND STEELES,Operations - Operator,30,2024-07-09,7,12
37,Saturday,BLOOR AND ISLINGTON,Mechanical,32,2024-07-06,7,16
40,Tuesday,KIPLING STATION,Mechanical,38,2024-01-30,1,17
41,Monday,KEELE AND DUNDAS,Collision - TTC,20,2024-05-13,5,16
68,Monday,WARDEN STATION,Operations - Operator,40,2024-08-12,8,5
40,Friday,DUNDAS WEST STATION,Utilized Off Route,30,2024-05-17,5,0
25,Sunday,PAPE STATION,Investigation,20,2024-04-14,4,13
353,Tuesday,JANE AND FOXWELL,Mechanical,24,2024-07-16,7,7
40,Monday,DUNDAS WEST STATION,Mechanical,38,2024-04-01,4,17
903,Tuesday,SCARBOROUGH CENTRE STA,Mechanical,28,2024-05-07,5,18
935,Tuesday,JANE AND CHURCH S OF 4,Mechanical,24,2024-04-16,4,18
63,Friday,EGLINTON WEST STATION,Utilized Off Route,16,2024-04-26,4,12
189,Thursday,ST CLAIR AND MONDOVI G,Utilized Off Route,48,2024-07-04,7,18
75,Tuesday,LOWER JARVIS AND LAKES,Diversion,36,2024-08-06,8,8
21,Tuesday,BRIMLEY AND STEELES,Emergency Services,30,2024-02-06,2,6
7,Thursday,BATHURST STATION,Mechanical,20,2024-08-15,8,19
54,Saturday,EGLINTON STATION,Emergency Services,40,2024-08-10,8,1
45,Friday,KIPLING STATION,Security,40,2024-07-05,7,5
36,Sunday,FINCH AND SENTINEL,General Delay,17,2024-06-23,6,22
320,Thursday,YONGE AND MONTGOMERY,Security,15,2024-03-28,3,4
129,Wednesday,MCCOWAN AND MCNICOLL,Mechanical,20,2024-07-24,7,13
119,Thursday,WILSON STATION,Vision,40,2024-08-01,8,8
48,Monday,ROYAL YORK STATION,Vision,0,2024-08-19,8,5
134,Friday,TAPSCOTT AND FINCH,Collision - TTC,30,2024-04-05,4,18
36,Monday,FINCH WEST AND KIPLING,Mechanical,12,2024-05-27,5,8
44,Thursday,KIPLING AND EVANS,Operations - Operator,15,2024-05-30,5,12
84,Friday,SHEPPARD AND KEELE,Operations - Operator,17,2024-04-12,4,9
133,Sunday,KENNEDY STATION,Mechanical,20,2024-09-22,9,15
35,Monday,JANE AND CORNELL,Utilized Off Route,16,2024-08-26,8,19
102,Thursday,MORNINGSIDE AND PASSMO,Operations - Operator,30,2024-07-11,7,18
39,Tuesday,FINCH STATION,Vision,50,2024-05-21,5,21
129,Monday,MCCOWAN AND MCNICOLL,Vision,42,2024-08-12,8,14
36,Sunday,FINCH STATION,Mechanical,20,2024-08-04,8,22
165,Saturday,YORK MILLS STATION,Cleaning - Unsanitary,20,2024-01-13,1,20
44,Saturday,COLONEL SAMUEL SMITH P,Cleaning - Unsanitary,20,2024-07-20,7,15
84,Friday,SHEPPARD AND BATHURST,Mechanical,20,2024-03-15,3,23
929,Thursday,DUFFERIN AND ORFUS,Collision - TTC,14,2024-07-11,7,15
7,Monday,GREENWIN VILLAGE AND B,Collision - TTC,20,2024-09-23,9,14
161,Tuesday,JANE AND LAMBTON,Operations - Operator,40,2024-06-04,6,6
11,Tuesday,DAVISVILLE AND FOREMAN,Security,50,2024-06-04,6,20
